entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
113958,113998,2019-07-30 07:05:00,2019-07-30 10:25:00,1,9715.0,9830.7,40,553.5000000000036,25.0,True
114174,114259,2019-07-31 02:05:00,2019-07-31 09:10:00,1,9930.0,10162.35,85,1136.7500000000018,25.0,True
114282,114283,2019-07-31 11:05:00,2019-07-31 11:10:00,1,10265.0,10192.05,1,-389.75000000000364,25.0,True
114367,114372,2019-07-31 19:10:00,2019-07-31 19:35:00,1,10295.0,10201.95,5,-490.24999999999636,25.0,True
114587,114598,2019-08-01 13:30:00,2019-08-01 14:25:00,1,10305.0,10424.7,11,573.5000000000036,25.0,True
114608,114622,2019-08-01 15:15:00,2019-08-01 17:25:00,1,10530.0,10558.35,14,116.75000000000182,25.0,True
114723,114757,2019-08-02 01:50:00,2019-08-02 04:40:00,1,10665.0,10647.45,34,-112.74999999999636,25.0,True
114818,114837,2019-08-02 09:45:00,2019-08-02 11:20:00,1,10755.0,10756.35,19,-18.24999999999818,25.0,True
114892,114894,2019-08-02 15:55:00,2019-08-04 17:05:00,-1,10505.0,10870.0,2,-1850.0,25.0,True
114894,114905,2019-08-04 17:05:00,2019-08-04 18:00:00,1,10870.0,11152.35,11,1386.7500000000018,25.0,True
114926,114956,2019-08-04 19:45:00,2019-08-04 22:15:00,1,11265.0,11731.5,30,2307.5,25.0,True
114998,115013,2019-08-05 01:45:00,2019-08-05 03:00:00,1,11850.0,11949.3,15,471.49999999999636,25.0,True
115121,115132,2019-08-05 12:00:00,2019-08-05 12:55:00,1,12070.0,12008.7,11,-331.49999999999636,25.0,True
115273,115280,2019-08-06 01:40:00,2019-08-06 02:15:00,1,12130.0,12379.95,7,1224.7500000000036,25.0,True
115323,115324,2019-08-06 05:50:00,2019-08-06 05:55:00,-1,11750.0,11852.35,1,-536.7500000000018,25.0,True
115347,115348,2019-08-06 07:50:00,2019-08-06 07:55:00,-1,11735.0,11817.0,1,-435.0,25.0,True
115446,115456,2019-08-06 17:05:00,2019-08-06 17:55:00,-1,11700.0,11438.25,10,1283.75,25.0,True
115626,115632,2019-08-07 08:05:00,2019-08-07 08:35:00,1,11995.0,12206.7,6,1033.5000000000036,25.0,True
115955,115957,2019-08-08 12:30:00,2019-08-08 12:40:00,-1,11740.0,11716.0,2,95.0,25.0,True
116020,116023,2019-08-08 18:55:00,2019-08-08 19:10:00,1,12205.0,12112.65,3,-486.7500000000018,25.0,True
116274,116443,2019-08-11 17:05:00,2019-08-12 07:10:00,-1,11795.0,11453.4,169,1683.0000000000018,25.0,True
116690,116744,2019-08-13 04:45:00,2019-08-13 09:15:00,-1,11340.0,11089.8,54,1226.0000000000036,25.0,True
116747,116752,2019-08-13 09:30:00,2019-08-13 09:55:00,-1,10980.0,11034.25,5,-296.25,25.0,True
116773,116783,2019-08-13 11:40:00,2019-08-13 12:30:00,-1,10925.0,10908.0,10,60.0,25.0,True
116861,116877,2019-08-13 20:00:00,2019-08-13 21:20:00,-1,10800.0,10645.4,16,748.0000000000018,25.0,True
116953,116964,2019-08-14 03:40:00,2019-08-14 04:35:00,-1,10540.0,10539.35,11,-21.75000000000182,25.0,True
117046,117058,2019-08-14 11:25:00,2019-08-14 12:25:00,-1,10435.0,10170.7,12,1296.4999999999964,25.0,True
117120,117125,2019-08-14 18:35:00,2019-08-14 19:00:00,-1,10070.0,10049.5,5,77.5,25.0,True
117159,117160,2019-08-14 21:50:00,2019-08-14 21:55:00,-1,9950.0,10004.05,1,-295.24999999999636,25.0,True
117171,117180,2019-08-14 22:50:00,2019-08-14 23:35:00,-1,9905.0,9756.6,9,716.9999999999982,25.0,True
117199,117204,2019-08-15 01:10:00,2019-08-15 01:35:00,-1,9660.0,9595.0,5,300.0,25.0,True
117370,117393,2019-08-15 15:25:00,2019-08-15 18:20:00,1,10300.0,10409.85,23,524.2500000000018,25.0,True
